Serial, Mutex_t1, Mutex_t2, Mutex_t4, Mutex_t8, ReadWrite_t1, ReadWrite_t2, ReadWrite_t4, ReadWrite_t8
50987, 64771, 53733, 37970, 33673, 48529, 59264, 45138, 38534
53672, 72185, 73915, 40055, 38095, 46560, 59030, 37084, 30337
44283, 55281, 55822, 41190, 49974, 69125, 59799, 39488, 30912
46393, 70011, 71516, 50821, 31920, 51467, 47252, 35747, 29547
44914, 47704, 48694, 41554, 35039, 50688, 44596, 34595, 32617
47420, 72764, 77139, 61624, 53629, 86007, 82761, 52148, 42064
59479, 46977, 49610, 38363, 33453, 43214, 41518, 37958, 30031
49404, 39882, 50896, 36109, 32854, 42385, 45243, 44124, 31416
37403, 37996, 45645, 82330, 89822, 179689, 68672, 51337, 43179
56447, 59362, 63131, 62089, 47259, 53286, 55673, 48209, 33941
64403, 55437, 53072, 47760, 51764, 65191, 59818, 39516, 35578
55916, 53834, 64155, 44961, 40468, 55249, 62635, 38776, 38733
72480, 55367, 73872, 71391, 52695, 73531, 67448, 46066, 33106
42342, 49887, 51024, 46317, 48768, 51491, 52753, 42304, 31552
46671, 48586, 55110, 44216, 38131, 94861, 70716, 50787, 59011
64833, 67687, 388738, 1269308, 1009815, 95075200, 68150, 58471, 55857
264135, 392444, 151698, 82485, 143904, 293989, 493723, 106147, 69065
200833, 74645, 60782, 39898, 27972, 39058, 35154, 28035, 23192
36873, 36426, 42560, 29813, 23954, 39669, 37738, 27997, 23616
37680, 36543, 36636, 29812, 24506, 37516, 32375, 26388, 25260
44608, 36785, 36932, 29513, 23541, 42449, 45624, 31448, 260343
72773, 60169, 66124, 74063, 54583, 37436, 36685, 29291, 24005
51410, 106764, 64223, 69071, 61708, 85027, 59029, 49471, 25560
53155, 38856, 42582, 56824, 58305, 43004, 37767, 30090, 23510
58904, 110052, 53888, 41779, 38895, 48181, 40000, 36942, 40247
51180, 68041, 57222, 32287, 26992, 46706, 40948, 34143, 30207
61372, 45591, 94910, 89151, 116958, 183171, 72480, 65990, 60629
152834, 158799, 148452, 144743, 149037, 247974, 70228, 50961, 36859
55096, 54980, 61840, 42469, 37598, 54723, 49631, 39388, 34391
55557, 54055, 62128, 46296, 36121, 60224, 53220, 43523, 34048
51996, 60264, 60240, 48566, 42593, 56657, 50139, 41326, 34782
55816, 56038, 69836, 45488, 36878, 55882, 52031, 40193, 34204
54503, 56675, 59991, 47700, 35508, 56468, 50619, 40490, 35512
54688, 55761, 61425, 50905, 36876, 58662, 50981, 41683, 34706
54234, 56167, 56943, 47324, 37525, 56169, 50800, 41840, 34549
55773, 56090, 58866, 44770, 36404, 56598, 51573, 38059, 33397
54167, 55790, 59847, 43880, 37794, 56230, 52003, 42914, 34245
54331, 55415, 59089, 55059, 37923, 58641, 52131, 40596, 36906
55415, 57111, 59147, 45914, 37468, 56148, 51137, 39337, 34272
55022, 57076, 59413, 44451, 36043, 61760, 51288, 40222, 34655
54349, 57470, 60180, 43816, 40326, 57568, 54232, 41037, 34620
56082, 86819, 94185, 81300, 91054, 114200, 73175, 54126, 61977
95327, 100594, 91004, 63576, 51718, 85751, 92672, 57212, 48750
133500, 162129, 134717, 116684, 83918, 130477, 121269, 106271, 71887
142467, 151191, 164348, 112000, 129310, 225823, 124293, 92713, 86178
92601, 217684, 125281, 94256, 81388, 272550, 130563, 94601, 74058
83841, 84493, 113939, 87177, 74749, 105618, 106565, 98270, 84169
151548, 140382, 139545, 85997, 65646, 81145, 82684, 57723, 45857
88446, 89319, 99990, 74362, 81126, 135048, 95944, 78080, 68570
