Serial, Mutex_t1, Mutex_t2, Mutex_t4, Mutex_t8, ReadWrite_t1, ReadWrite_t2, ReadWrite_t4, ReadWrite_t8
34870, 34685, 35666, 31678, 28212, 39755, 33000, 28151, 23731
39219, 39572, 43444, 30302, 26692, 38073, 33999, 28047, 27303
39056, 39266, 39177, 33445, 25956, 37388, 33696, 28065, 22374
36426, 36901, 41959, 30373, 24062, 39477, 32790, 28078, 22662
48443, 44476, 50330, 34327, 30808, 42115, 34846, 28525, 22252
35978, 33938, 36967, 34590, 24039, 37527, 30884, 27348, 23033
36075, 34013, 35544, 31093, 27066, 38167, 36382, 27225, 22526
35579, 38596, 35335, 34556, 27154, 38126, 33215, 27413, 23074
36367, 35139, 35937, 34329, 27680, 37785, 32837, 26639, 22969
36954, 34842, 35351, 32337, 26361, 38189, 30073, 26975, 22491
35944, 32578, 36143, 32616, 24723, 38510, 33212, 26508, 22778
37389, 34911, 36050, 34620, 25551, 36868, 33194, 27449, 23754
37128, 34979, 42297, 36083, 26117, 38289, 33574, 26483, 22195
36801, 33716, 34817, 35709, 25953, 36281, 29457, 26856, 23284
35368, 38180, 37862, 30789, 27370, 37370, 32514, 25851, 22464
35105, 33446, 35959, 32298, 24567, 39660, 37370, 25769, 23447
36385, 34315, 37214, 33004, 25572, 37021, 32015, 26678, 22048
33662, 33389, 32846, 28900, 23708, 37702, 33233, 27128, 22692
34979, 34138, 33989, 31804, 24771, 35724, 30981, 28370, 22711
37611, 34380, 44776, 29738, 27324, 38542, 34933, 26334, 22631
34864, 36143, 35840, 29025, 26488, 37861, 30056, 28049, 23003
36180, 34770, 39886, 32123, 25426, 38040, 31848, 26749, 22884
36649, 32788, 33423, 29394, 25056, 38122, 32230, 27108, 22839
35774, 36613, 40900, 31979, 26847, 37698, 32186, 27337, 23203
35988, 33883, 37032, 34504, 24579, 36535, 29786, 27692, 22755
36247, 33747, 36782, 30966, 26048, 37308, 32707, 27873, 23192
35194, 34005, 37404, 30680, 26898, 37114, 33299, 27994, 23166
37166, 34048, 44710, 29310, 24870, 40974, 35736, 26883, 24450
35891, 33608, 35902, 28271, 23816, 36894, 32872, 27522, 22309
36985, 37006, 41246, 34751, 25673, 38735, 35713, 27007, 22580
35673, 34988, 38767, 35031, 24325, 38442, 33539, 29473, 22350
36117, 34851, 35362, 38257, 31659, 37427, 32294, 27358, 22461
35039, 38739, 39916, 31484, 26431, 37190, 33309, 28163, 22500
36106, 33804, 41607, 29086, 26402, 39747, 35712, 26188, 22793
38986, 37651, 38650, 36179, 24719, 39398, 36683, 27787, 23190
36054, 35747, 37964, 35195, 27339, 38856, 30981, 28352, 22819
36201, 33576, 35900, 35003, 25521, 37039, 33161, 27490, 22129
34850, 34024, 34074, 28246, 25839, 38021, 31149, 27918, 23816
37212, 36006, 39826, 32438, 25747, 37130, 36939, 28461, 24075
34319, 34387, 36033, 30531, 23978, 37380, 31007, 26679, 23131
34919, 34333, 34716, 32707, 25182, 36904, 33447, 27723, 22727
34801, 33879, 39021, 30814, 26448, 35990, 36752, 27723, 22570
34651, 34014, 36310, 32922, 25929, 38500, 32430, 29289, 24156
36597, 32730, 35191, 32228, 26271, 38421, 30461, 26060, 22960
35338, 34111, 40342, 31044, 28168, 39636, 36042, 28660, 22693
35867, 36430, 39950, 33240, 27179, 39751, 36239, 30184, 24586
36763, 37967, 41341, 31096, 27090, 38379, 33041, 27617, 21763
35717, 33583, 39329, 31586, 26477, 38220, 31897, 27743, 23920
36092, 33615, 35444, 35862, 23596, 37289, 36727, 27162, 24156
36238, 36829, 39485, 28774, 26456, 38117, 32558, 26616, 24710
34186, 35382, 39366, 34429, 23993, 37473, 34038, 26684, 22749
34833, 34235, 35474, 32977, 27858, 36549, 31018, 25106, 22965
36350, 32669, 36500, 35208, 23936, 38375, 34567, 28087, 23503
37562, 35117, 34512, 30586, 25960, 37721, 29590, 25593, 22772
36442, 34703, 36895, 30763, 26470, 36954, 30900, 26598, 22874
36552, 34607, 34939, 39458, 24481, 38511, 30524, 27362, 22426
35239, 34092, 35351, 30786, 24610, 43006, 34276, 27305, 23362
36744, 34351, 35949, 28224, 23881, 37332, 29252, 28388, 23383
36195, 33815, 37880, 28658, 23902, 36982, 32030, 26977, 22832
35906, 33722, 36202, 30156, 24959, 37492, 30176, 25011, 23011
35735, 37383, 38744, 31189, 25516, 38196, 35117, 27443, 21992
35470, 35905, 36734, 34901, 25422, 37071, 31314, 27438, 23741
36656, 34590, 37090, 31643, 24046, 37545, 33016, 30390, 27686
35168, 34770, 40799, 31775, 27993, 39532, 35109, 30765, 23968
42513, 35225, 37838, 32640, 27161, 38117, 34554, 27856, 22009
35981, 35659, 35166, 31740, 26135, 37911, 31349, 26806, 23117
34578, 33934, 35578, 33101, 25035, 37722, 32153, 27123, 22385
35430, 35239, 37975, 30666, 25270, 37598, 35350, 28532, 23457
36552, 34266, 38866, 29085, 24380, 37299, 33928, 27196, 23121
35877, 36621, 34247, 33083, 23195, 37017, 30198, 27378, 22539
36006, 34358, 34840, 30716, 24579, 37642, 32836, 27526, 22704
35620, 34494, 44469, 32864, 28172, 39806, 33340, 26573, 21651
36374, 33744, 34522, 35362, 27798, 37774, 32054, 26724, 23247
36155, 33604, 36747, 32684, 26489, 38237, 30771, 28458, 22881
35586, 32752, 34455, 30747, 24597, 36977, 31102, 28078, 22769
36754, 36736, 40184, 31661, 24819, 37609, 29712, 26906, 21473
36225, 33067, 33640, 36787, 27602, 36992, 33828, 27140, 24028
35267, 34127, 41685, 32474, 23882, 38662, 29672, 25804, 22518
35482, 34031, 33754, 28726, 23524, 37971, 33754, 27689, 23791
37686, 33777, 33980, 32950, 27962, 38738, 33986, 25037, 23798
35324, 33773, 35816, 33343, 26200, 36462, 35052, 27171, 22822
37680, 34788, 34462, 29492, 25826, 37517, 29586, 27587, 22747
35523, 33594, 37428, 36314, 23784, 39108, 38202, 27692, 23580
36238, 33294, 45159, 34213, 26389, 36720, 33303, 27350, 22007
35607, 34347, 38436, 31198, 25131, 36618, 29955, 28358, 22051
34844, 33558, 35637, 30573, 24479, 38072, 34779, 26813, 21933
34777, 33671, 38370, 31452, 24040, 37773, 36568, 28570, 22915
35714, 32961, 34424, 29271, 24347, 37066, 33676, 26044, 21804
35385, 33859, 35129, 33801, 25573, 37819, 31445, 26886, 23505
34589, 34359, 37551, 32147, 24760, 37927, 36212, 25511, 22652
37586, 36893, 40294, 29273, 25829, 37415, 33991, 25127, 21887
35906, 33930, 33970, 29092, 23375, 36872, 33597, 26367, 22742
34914, 34221, 41715, 35752, 26478, 36796, 32894, 27949, 22498
34499, 35154, 36886, 34261, 26571, 38950, 35863, 28415, 23717
36825, 33962, 35356, 34386, 25021, 36828, 33781, 26608, 22472
34603, 32748, 37081, 31823, 23317, 37011, 28948, 25733, 22233
35960, 34296, 33742, 34191, 26383, 36862, 32727, 26020, 22676
36725, 34310, 33477, 30520, 26606, 39715, 34010, 27198, 22939
